function_name,M,N,topology,sigma,unique_clusters,calinski_harabasz,davies_bouldin,silhouette,ari,nmi
gaussian,2,3,rectangular,0.1,2,220.77409539472814,0.8730956917675426,0.40561709051147377,0.001285045251276362,0.014075109642878563
gaussian,2,3,rectangular,0.5,4,3888.395296127745,1.6786920185869358,0.29062970861123616,0.3277683311371187,0.5251950803265998
gaussian,2,3,rectangular,1.0,6,2932.0542859193806,2.139339897249722,0.15890774847480588,0.48493787464872934,0.6122874397297605
gaussian,2,3,rectangular,10.0,6,2671.7082510040186,2.4572588616208995,0.0928063255344225,0.31133693034178517,0.4675500808341878
gaussian,2,3,hexagon,0.1,2,262.175777571434,0.8964561796518025,0.38903377989827764,0.0016967082298454327,0.017945795927204272
gaussian,2,3,hexagon,0.5,3,5315.71737970221,1.1304975720489687,0.43905931175736407,0.3293124525178059,0.5437659792860366
gaussian,2,3,hexagon,1.0,6,2804.690708513318,2.8776118181452257,0.09867426921233954,0.3052913023368837,0.4667094296747183
gaussian,2,3,hexagon,10.0,6,2605.3700972355114,2.755416296494202,0.11305000975861608,0.3005317664970356,0.4682536928119778
mexican_hat,2,3,rectangular,0.1,2,125.30928574464328,0.7587113121415905,0.45965783283501743,0.0005429288528987276,0.006696460376056805
mexican_hat,2,3,rectangular,0.5,2,137.41421443868532,0.780731305222348,0.4525682930867137,0.0006229463809602217,0.007604792674600552
mexican_hat,2,3,rectangular,1.0,1,,,,0.0,0.0
mexican_hat,2,3,rectangular,10.0,2,9817.650955125648,0.8366754710054376,0.48515412206804054,0.3299555315656998,0.5485813190888347
mexican_hat,2,3,hexagon,0.1,3,40.26455890852678,2.504856423411224,0.49138756332858124,0.0002839268258545368,0.0036590478317910895
mexican_hat,2,3,hexagon,0.5,2,64.04122718516683,0.6718122150457646,0.5112418693261362,0.00021280659017052203,0.0027482963464334704
mexican_hat,2,3,hexagon,1.0,1,,,,0.0,0.0
mexican_hat,2,3,hexagon,10.0,2,270.26056619412753,0.9031156877317317,0.3839521440266965,0.0017956367153381416,0.018838846670783903
